رقم_الطلب,التاريخ,الشهر,الربع,المنتج,الفئة,المنطقة,قناة_البيع,الكمية,سعر_الوحدة,التكلفة,الخصم_%,الإيراد,الربح,اسم_العميل
ORD-1000,2024-11-23,2024-11,Q4,آيفون 15,موبايل,القاهرة,أونلاين,1.0,26207.75,15376.97,0,26207.75,10830.78,عميل_76
ORD-1001,2024-08-04,2024-08,Q3,لابتوب Dell,لابتوب,القاهرة,فروع,1.0,13781.09,8060.55,10,12402.98,4342.43,عميل_92
ORD-1002,2024-11-28,2024-11,Q4,كاميرا Canon,كاميرات,الإسكندرية,تليفون,7.0,20769.94,13259.32,0,145389.57,52574.34,عميل_44
ORD-1003,2024-05-22,2024-05,Q2,سماعات Sony,إكسسوار,المنصورة,أونلاين,4.0,3820.05,2293.9,0,15280.2,6104.6,عميل_46
ORD-1004,2024-06-25,2024-06,Q2,هاردسك WD,تخزين,القاهرة,تليفون,5.0,1592.14,1049.95,10,7164.62,1914.87,عميل_11
ORD-1005,2024-10-09,2024-10,Q4,طابعة HP,طابعات,القاهرة,أونلاين,10.0,4846.91,2928.72,0,48469.07,19181.86,عميل_85
ORD-1006,2024-04-26,2024-04,Q2,طابعة HP,طابعات,الجيزة,تليفون,2.0,4819.79,3277.32,5,9157.59,2602.95,عميل_82
ORD-1007,2024-07-05,2024-07,Q3,سماعات Sony,إكسسوار,القاهرة,فروع,6.0,3398.69,2210.94,15,17333.32,4067.7,عميل_69
ORD-1008,2024-05-05,2024-05,Q2,سماعات Sony,إكسسوار,أسيوط,فروع,8.0,3415.62,2385.57,15,23226.21,4141.68,عميل_88
ORD-1009,2024-06-15,2024-06,Q2,لابتوب Dell,لابتوب,الجيزة,أونلاين,4.0,15965.41,10708.91,5,60668.55,17832.92,عميل_28
ORD-1010,2024-10-17,2024-10,Q4,كيبورد Logitech,إكسسوار,المنصورة,فروع,4.0,824.87,502.63,15,2804.56,794.04,عميل_34
ORD-1011,2024-03-12,2024-03,Q1,شاشة Samsung,شاشات,أسيوط,تليفون,9.0,8062.36,5337.7,5,68933.21,20893.87,عميل_47
ORD-1012,2024-04-22,2024-04,Q2,سماعات Sony,إكسسوار,الإسكندرية,فروع,9.0,3495.46,2318.77,0,31459.15,10590.18,عميل_88
ORD-1013,2024-08-04,2024-08,Q3,هاردسك WD,تخزين,أسيوط,موزعين,2.0,1465.43,936.97,5,2784.32,910.37,عميل_71
ORD-1014,2024-01-06,2024-01,Q1,آيفون 15,موبايل,القاهرة,موزعين,9.0,26254.39,17466.78,0,236289.5,79088.5,عميل_56
ORD-1015,2024-03-21,2024-03,Q1,جهاز iPad,تابلت,أسيوط,فروع,1.0,19633.74,13378.0,0,19633.74,6255.74,عميل_65
ORD-1016,2024-02-24,2024-02,Q1,طابعة HP,طابعات,أسيوط,أونلاين,9.0,4598.07,2634.36,0,41382.66,17673.46,عميل_77
ORD-1017,2024-06-14,2024-06,Q2,جهاز iPad,تابلت,الإسكندرية,أونلاين,1.0,16602.72,10035.47,0,16602.72,6567.26,عميل_31
ORD-1018,2024-10-17,2024-10,Q4,آيفون 15,موبايل,الإسكندرية,فروع,2.0,26159.54,17589.76,10,47087.17,11907.64,عميل_85
ORD-1019,2024-08-31,2024-08,Q3,كاميرا Canon,كاميرات,الإسكندرية,فروع,3.0,20966.25,14275.18,5,59753.81,16928.26,عميل_92
ORD-1020,2024-06-08,2024-06,Q2,ماوس Razer,إكسسوار,الإسكندرية,فروع,6.0,1185.14,743.84,0,7110.86,2647.83,عميل_9
ORD-1021,2024-06-22,2024-06,Q2,لابتوب Dell,لابتوب,القاهرة,أونلاين,10.0,15161.76,9677.24,0,151617.65,54845.25,عميل_30
ORD-1022,2024-02-04,2024-02,Q1,لابتوب Dell,لابتوب,,فروع,6.0,13712.57,8031.46,15,69934.12,21745.34,عميل_70
ORD-1023,2024-03-08,2024-03,Q1,هاردسك WD,تخزين,الإسكندرية,أونلاين,10.0,1491.8,996.07,5,14172.11,4211.46,عميل_13
ORD-1024,2024-12-03,2024-12,Q4,ماوس Razer,إكسسوار,القاهرة,أونلاين,6.0,1181.66,732.69,15,6026.46,1630.31,عميل_8
ORD-1025,2024-07-25,2024-07,Q3,كيبورد Logitech,إكسسوار,الإسكندرية,تليفون,2.0,759.79,439.56,5,1443.59,564.47,عميل_24
ORD-1026,2024-05-22,2024-05,Q2,جهاز iPad,تابلت,القاهرة,أونلاين,4.0,19348.15,10860.27,10,69653.34,26212.27,عميل_84
ORD-1027,2024-10-03,2024-10,Q4,لابتوب Dell,لابتوب,المنصورة,تليفون,2.0,16279.1,11025.91,0,32558.2,10506.39,عميل_62
ORD-1028,2024-04-19,2024-04,Q2,ماوس Razer,إكسسوار,الجيزة,تليفون,1.0,1119.51,616.09,5,1063.54,447.44,عميل_37
ORD-1029,2024-08-04,2024-08,Q3,كاميرا Canon,كاميرات,أسيوط,أونلاين,8.0,20481.11,12176.14,0,163848.85,66439.7,عميل_96
ORD-1030,2024-06-09,2024-06,Q2,لابتوب Dell,لابتوب,الإسكندرية,أونلاين,1.0,15252.53,9539.35,10,13727.28,4187.93,عميل_66
ORD-1031,2024-02-11,2024-02,Q1,سماعات Sony,إكسسوار,المنصورة,أونلاين,2.0,3566.52,2322.81,0,7133.05,2487.42,عميل_73
ORD-1032,2024-05-06,2024-05,Q2,هاردسك WD,تخزين,أسيوط,موزعين,10.0,1361.92,765.81,15,11576.34,3918.28,عميل_34
ORD-1033,2024-04-14,2024-04,Q2,كيبورد Logitech,إكسسوار,الجيزة,تليفون,4.0,762.5,434.34,15,2592.49,855.12,عميل_41
ORD-1034,2024-02-07,2024-02,Q1,لابتوب Dell,لابتوب,القاهرة,فروع,8.0,15363.48,9747.34,0,122907.82,44929.07,عميل_65
ORD-1035,2024-05-15,2024-05,Q2,سماعات Sony,إكسسوار,الجيزة,فروع,6.0,3766.6,2568.41,0,22599.63,7189.16,عميل_57
ORD-1036,2024-10-05,2024-10,Q4,طابعة HP,طابعات,القاهرة,موزعين,10.0,4935.47,3312.02,10,44419.21,11299.01,عميل_85
ORD-1037,2024-02-23,2024-02,Q1,سماعات Sony,إكسسوار,الإسكندرية,موزعين,5.0,3230.8,1828.81,10,14538.6,5394.54,عميل_37
ORD-1038,2024-11-05,2024-11,Q4,شاشة Samsung,شاشات,أسيوط,تليفون,6.0,7525.76,4855.13,0,45154.53,16023.73,عميل_33
ORD-1039,2024-01-27,2024-01,Q1,آيفون 15,موبايل,الإسكندرية,موزعين,7.0,26646.74,14831.92,0,186527.18,82703.73,عميل_21
ORD-1040,2024-08-14,2024-08,Q3,كاميرا Canon,كاميرات,الإسكندرية,أونلاين,7.0,22267.99,12621.08,15,132494.54,44147.01,عميل_48
ORD-1041,2024-10-25,2024-10,Q4,كاميرا Canon,كاميرات,القاهرة,موزعين,3.0,21691.06,12066.18,0,65073.18,28874.64,عميل_27
ORD-1042,2024-12-15,2024-12,Q4,شاشة Samsung,شاشات,أسيوط,فروع,2.0,7765.89,4923.44,5,14755.18,4908.31,عميل_31
ORD-1043,2024-03-24,2024-03,Q1,سماعات Sony,إكسسوار,المنصورة,فروع,7.0,3167.35,2091.99,0,22171.45,7527.55,عميل_35
ORD-1044,2024-03-22,2024-03,Q1,آيفون 15,موبايل,الإسكندرية,تليفون,7.0,26860.83,18232.84,0,188025.84,60395.97,عميل_45
ORD-1045,2024-06-05,2024-06,Q2,شاشة Samsung,شاشات,الجيزة,أونلاين,4.0,7237.86,4190.5,0,28951.45,12189.45,عميل_99
ORD-1046,2024-05-22,2024-05,Q2,كيبورد Logitech,إكسسوار,الجيزة,أونلاين,9.0,783.95,546.55,10,6349.98,1431.06,عميل_15
ORD-1047,2024-05-13,2024-05,Q2,سماعات Sony,إكسسوار,أسيوط,تليفون,10.0,3823.77,2255.34,0,38237.74,15684.36,عميل_45
ORD-1048,2024-06-09,2024-06,Q2,ماوس Razer,إكسسوار,الإسكندرية,موزعين,10.0,1316.22,746.75,10,11845.95,4378.44,عميل_6
ORD-1049,2024-12-28,2024-12,Q4,ماوس Razer,إكسسوار,الإسكندرية,موزعين,1.0,1204.78,808.38,15,1024.06,215.68,عميل_56
ORD-1050,2024-02-05,2024-02,Q1,كيبورد Logitech,إكسسوار,الجيزة,موزعين,10.0,770.23,521.6,15,6546.93,1330.93,عميل_86
ORD-1051,2024-07-28,2024-07,Q3,كيبورد Logitech,إكسسوار,المنصورة,تليفون,7.0,831.55,526.51,0,5820.87,2135.32,عميل_87
ORD-1052,2024-03-30,2024-03,Q1,هاردسك WD,تخزين,الجيزة,موزعين,10.0,1440.28,910.53,0,14402.85,5297.5,عميل_27
ORD-1053,2024-08-08,2024-08,Q3,هاردسك WD,تخزين,الإسكندرية,تليفون,10.0,1546.41,958.39,5,14690.91,5107.05,عميل_95
ORD-1054,2024-03-27,2024-03,Q1,آيفون 15,موبايل,القاهرة,فروع,5.0,25077.26,16173.36,0,125386.3,44519.52,عميل_87
ORD-1055,2024-06-07,2024-06,Q2,شاشة Samsung,شاشات,أسيوط,أونلاين,4.0,7435.77,4141.22,5,28255.91,11691.05,عميل_59
ORD-1056,2024-07-31,2024-07,Q3,هاردسك WD,تخزين,الإسكندرية,فروع,4.0,1565.5,951.2,5,5948.91,2144.13,عميل_84
ORD-1057,2024-12-18,2024-12,Q4,لابتوب Dell,لابتوب,أسيوط,تليفون,2.0,15835.26,9229.2,15,26919.94,8461.53,عميل_7
ORD-1058,2024-10-12,2024-10,Q4,شاشة Samsung,شاشات,أسيوط,موزعين,2.0,7930.34,5315.01,15,13481.58,2851.55,عميل_97
ORD-1059,2024-08-14,2024-08,Q3,هاردسك WD,تخزين,الإسكندرية,تليفون,9.0,1478.02,1013.96,5,12637.09,3511.41,عميل_58
ORD-1060,2024-05-12,2024-05,Q2,شاشة Samsung,شاشات,الإسكندرية,موزعين,5.0,8425.3,5292.73,15,35807.53,9343.87,عميل_57
ORD-1061,2024-02-09,2024-02,Q1,طابعة HP,طابعات,القاهرة,فروع,4.0,4294.54,2567.95,10,15460.36,5188.56,عميل_20
ORD-1062,2024-04-28,2024-04,Q2,ماوس Razer,إكسسوار,الجيزة,تليفون,3.0,1249.54,699.29,5,3561.19,1463.33,عميل_54
ORD-1063,2024-02-01,2024-02,Q1,شاشة Samsung,شاشات,القاهرة,تليفون,7.0,7823.16,5206.08,15,46547.82,10105.29,عميل_62
ORD-1064,2024-01-04,2024-01,Q1,كيبورد Logitech,إكسسوار,أسيوط,فروع,5.0,840.56,569.91,5,3992.64,1143.08,عميل_63
ORD-1065,2024-04-22,2024-04,Q2,طابعة HP,طابعات,المنصورة,فروع,7.0,4487.08,2729.62,15,26698.11,7590.79,عميل_60
ORD-1066,2024-03-06,2024-03,Q1,هاردسك WD,تخزين,القاهرة,أونلاين,9.0,1358.09,827.22,10,11000.53,3555.58,عميل_83
ORD-1067,2024-08-07,2024-08,Q3,سماعات Sony,إكسسوار,الإسكندرية,تليفون,8.0,3277.21,1930.35,0,26217.68,10774.85,عميل_42
ORD-1068,2024-06-21,2024-06,Q2,ماوس Razer,إكسسوار,القاهرة,تليفون,5.0,1260.48,850.56,0,6302.41,2049.62,عميل_3
ORD-1069,2024-10-03,2024-10,Q4,لابتوب Dell,لابتوب,القاهرة,أونلاين,6.0,14172.67,7940.84,15,72280.6,24635.54,عميل_32
ORD-1070,2024-04-12,2024-04,Q2,لابتوب Dell,لابتوب,القاهرة,فروع,10.0,13957.15,7940.68,15,118635.75,39228.91,عميل_60
ORD-1071,2024-12-24,2024-12,Q4,طابعة HP,طابعات,القاهرة,فروع,6.0,4201.01,2693.21,15,21425.15,5265.87,عميل_40
ORD-1072,2024-02-25,2024-02,Q1,هاردسك WD,تخزين,المنصورة,فروع,1.0,1628.67,1036.43,5,1547.23,510.8,عميل_10
ORD-1073,2024-10-30,2024-10,Q4,شاشة Samsung,شاشات,أسيوط,أونلاين,2.0,8315.51,4949.7,15,14136.36,4236.96,عميل_73
ORD-1074,2024-01-22,2024-01,Q1,كيبورد Logitech,إكسسوار,الجيزة,أونلاين,9.0,788.54,477.53,10,6387.18,2089.42,عميل_54
ORD-1075,2024-09-07,2024-09,Q3,آيفون 15,موبايل,الإسكندرية,تليفون,7.0,27303.94,17620.26,5,181571.19,58229.35,عميل_23
ORD-1076,2024-09-24,2024-09,Q3,طابعة HP,طابعات,المنصورة,تليفون,10.0,4777.38,3013.22,5,45385.1,15252.93,عميل_94
